id,idade,altura,peso,imc,sexo,escolaridade,profissao,fumante.f,fumante.n,salario,carros,filhos
803,35,1.5,54.8,24.36,M,3º Grau,Exatas,não,0,9507.79,2,1
804,48,1.68,62.24,22.05,F,3º Grau,Biológicas,não,0,28109.61,3,2
805,34,1.49,54.6,24.59,M,Mestrado,Biológicas,não,0,9004.9,0,2
806,40,1.58,58.11,23.28,F,Doutorado,Exatas,não,0,17772.37,2,1
807,27,1.39,50.59,26.18,M,2º Grau,Exatas,não,0,1025.96,2,1
808,33,1.48,54.11,24.7,F,PósDoc,Humanas,não,0,7783.55,3,0
809,39,1.56,57.26,23.53,F,1º Grau,Biológicas,sim,1,15660.95,2,2
810,33,1.46,53.58,25.14,F,1º Grau,Biológicas,não,0,6450.41,1,2
811,40,1.58,58.14,23.29,F,Analfabeto,Exatas,não,0,17852.63,0,1
812,40,1.57,57.78,23.44,M,PósDoc,Humanas,não,0,16940.47,3,0
813,31,1.44,52.47,25.3,M,3º Grau,Exatas,sim,1,3672.7,0,1
814,30,1.42,51.91,25.74,M,PósDoc,Biológicas,sim,1,2280.41,1,2
815,52,1.74,64.43,21.28,F,2º Grau,Biológicas,não,0,33578.17,3,2
816,34,1.48,54.23,24.76,F,Doutorado,Exatas,não,0,8074.51,1,1
817,35,1.5,55.03,24.46,F,3º Grau,Humanas,não,0,10066.19,2,0
818,35,1.49,54.78,24.67,M,1º Grau,Exatas,sim,1,9454.54,2,1
819,31,1.44,52.73,25.43,M,PósDoc,Humanas,não,0,4317.93,2,0
820,29,1.41,51.29,25.8,F,Analfabeto,Exatas,não,0,730.24,2,1
821,27,1.39,50.46,26.12,M,Analfabeto,Exatas,não,0,1357.35,1,1
822,41,1.59,58.66,23.2,M,Mestrado,Humanas,não,0,19139.62,2,0
823,28,1.4,51.06,26.05,M,Mestrado,Exatas,não,0,139.37,3,1
824,40,1.57,57.67,23.4,F,PósDoc,Humanas,não,0,16674.85,0,0
825,45,1.64,60.63,22.54,M,Analfabeto,Exatas,não,0,24065.95,2,1
826,43,1.62,59.63,22.72,F,2º Grau,Humanas,sim,1,21577.79,1,0
827,34,1.49,54.44,24.52,M,1º Grau,Biológicas,não,0,8612.47,1,2
828,31,1.45,52.84,25.13,F,Analfabeto,Exatas,não,0,4606.78,0,1
829,27,1.39,50.68,26.23,M,Doutorado,Biológicas,não,0,788.93,3,2
830,35,1.5,54.93,24.41,F,1º Grau,Exatas,não,0,9814.38,0,1
831,33,1.48,54.07,24.68,M,Analfabeto,Biológicas,não,0,7673.84,0,2
832,36,1.52,55.63,24.08,F,2º Grau,Humanas,sim,1,11562.94,3,0
833,31,1.44,52.58,25.36,F,Analfabeto,Humanas,sim,1,3959.9,2,0
834,39,1.56,57.52,23.64,M,Doutorado,Biológicas,sim,1,16290.35,3,2
835,40,1.57,57.86,23.47,M,Mestrado,Exatas,não,0,17141.7,1,1
836,43,1.61,59.3,22.88,M,Mestrado,Exatas,sim,1,20758.86,0,1
837,51,1.72,64,21.63,F,PósDoc,Biológicas,sim,1,32497.56,2,2
838,36,1.52,55.79,24.15,M,1º Grau,Exatas,não,0,11978.91,1,1
839,31,1.44,52.7,25.41,M,3º Grau,Exatas,não,0,4244.54,0,1
840,34,1.49,54.69,24.63,F,2º Grau,Biológicas,não,0,9226.79,0,2
841,24,1.34,48.49,27,M,3º Grau,Exatas,não,0,6279.2,3,1
842,36,1.51,55.52,24.35,M,3º Grau,Humanas,não,0,11299.23,0,0
843,32,1.46,53.3,25,F,1º Grau,Humanas,não,0,5743.27,2,0
844,38,1.54,56.62,23.87,M,Analfabeto,Biológicas,não,0,14060.12,1,2
845,33,1.47,53.92,24.95,M,Doutorado,Biológicas,não,0,7311.9,2,2
846,25,1.36,49.48,26.75,M,Analfabeto,Exatas,sim,1,3809.85,1,1
847,35,1.5,55.15,24.51,F,1º Grau,Humanas,não,0,10365.83,2,0
848,26,1.36,49.59,26.81,F,Doutorado,Biológicas,sim,1,3532.45,0,2
849,41,1.59,58.59,23.18,F,3º Grau,Exatas,sim,1,18970.06,2,1
850,22,1.32,47.68,27.36,F,3º Grau,Biológicas,sim,1,8293.6,2,2
851,34,1.49,54.43,24.52,M,Mestrado,Biológicas,não,0,8581.23,2,2
852,38,1.55,56.83,23.65,M,PósDoc,Biológicas,sim,1,14579.82,0,2
853,24,1.35,48.92,26.84,F,Mestrado,Exatas,sim,1,5196.18,2,1
854,45,1.64,60.6,22.53,M,Doutorado,Biológicas,não,0,23990.55,1,2
855,29,1.41,51.46,25.88,F,2º Grau,Exatas,não,0,1146.61,2,1
856,31,1.45,52.97,25.19,M,2º Grau,Biológicas,não,0,4936.7,0,2
857,36,1.52,55.65,24.09,M,3º Grau,Biológicas,não,0,11633.32,1,2
858,33,1.47,53.65,24.83,F,PósDoc,Exatas,não,0,6628.56,0,1
859,28,1.4,50.86,25.95,M,2º Grau,Humanas,sim,1,359.52,0,0
860,38,1.54,56.64,23.88,F,PósDoc,Biológicas,sim,1,14093.38,3,2
861,31,1.45,52.9,25.16,F,Doutorado,Exatas,não,0,4757.77,3,1
862,39,1.55,57.03,23.74,M,2º Grau,Humanas,não,0,15065,1,0
863,31,1.45,52.98,25.2,M,Doutorado,Humanas,não,0,4952.77,0,0
864,28,1.4,51.17,26.11,M,2º Grau,Exatas,não,0,427.5,2,1
865,34,1.49,54.62,24.6,M,Mestrado,Biológicas,não,0,9053.66,1,2
866,40,1.56,57.6,23.67,M,Mestrado,Humanas,sim,1,16494.39,3,0
867,37,1.52,55.97,24.23,F,Doutorado,Biológicas,não,0,12423.22,1,2
868,35,1.49,54.76,24.67,M,Doutorado,Biológicas,sim,1,9410.66,3,2
869,21,1.31,47.21,27.51,M,Analfabeto,Exatas,não,0,9477.94,2,1
870,45,1.65,60.81,22.34,M,Doutorado,Exatas,não,0,24514.44,0,1
871,35,1.5,54.84,24.37,M,Doutorado,Humanas,sim,1,9600.6,1,0
872,29,1.41,51.54,25.92,F,1º Grau,Biológicas,sim,1,1360.02,2,2
873,34,1.48,54.19,24.74,M,Analfabeto,Humanas,sim,1,7983.1,1,0
874,37,1.53,56.05,23.94,M,Mestrado,Humanas,não,0,12612.56,1,0
875,24,1.35,48.93,26.85,M,Doutorado,Exatas,sim,1,5183.51,2,1
876,40,1.57,57.87,23.48,F,1º Grau,Humanas,não,0,17173.09,0,0
877,37,1.52,55.99,24.23,F,1º Grau,Biológicas,não,0,12468.33,2,2
878,43,1.62,59.81,22.79,F,Analfabeto,Humanas,não,0,22027.67,0,0
879,42,1.6,58.94,23.02,M,PósDoc,Exatas,não,0,19860.39,0,1
880,31,1.45,52.85,25.14,M,Analfabeto,Biológicas,não,0,4620.59,0,2
881,32,1.45,53.04,25.23,F,Mestrado,Biológicas,sim,1,5097.17,1,2
882,28,1.4,51.02,26.03,F,Mestrado,Humanas,não,0,44.84,2,0
883,32,1.46,53.55,25.12,F,2º Grau,Exatas,não,0,6382.97,0,1
884,42,1.59,58.78,23.25,F,Mestrado,Humanas,não,0,19443.55,0,0
885,48,1.68,62.17,22.03,M,Doutorado,Humanas,não,0,27922.07,1,0
886,41,1.59,58.71,23.22,F,PósDoc,Biológicas,sim,1,19284.09,3,2
887,22,1.32,47.68,27.36,M,PósDoc,Humanas,não,0,8299.38,0,0
888,41,1.58,58.29,23.35,F,2º Grau,Humanas,não,0,18218.78,1,0
889,42,1.6,59.15,23.11,F,1º Grau,Humanas,não,0,20362.69,1,0
890,39,1.56,57.47,23.62,M,Mestrado,Biológicas,não,0,16174.2,0,2
891,29,1.41,51.58,25.94,M,Doutorado,Exatas,sim,1,1450.7,3,1
892,42,1.61,59.26,22.86,M,Doutorado,Exatas,sim,1,20645.11,1,1
893,40,1.57,57.92,23.5,M,PósDoc,Humanas,não,0,17294.81,2,0
894,40,1.57,57.65,23.39,M,3º Grau,Exatas,não,0,16626.57,2,1
895,32,1.46,53.47,25.08,M,1º Grau,Exatas,não,0,6185.93,2,1
896,41,1.58,58.38,23.39,M,2º Grau,Biológicas,não,0,18458.92,1,2
897,36,1.51,55.45,24.32,F,Doutorado,Exatas,não,0,11115.92,2,1
898,35,1.49,54.73,24.65,M,3º Grau,Biológicas,não,0,9322.3,0,2
899,45,1.65,60.95,22.39,M,Doutorado,Biológicas,sim,1,24870.98,3,2
900,40,1.58,58.03,23.25,M,Mestrado,Exatas,sim,1,17572.23,0,1
901,15,1.21,43.5,29.71,F,PósDoc,Exatas,não,0,18740.42,0,1
902,32,1.46,53.29,25,F,Analfabeto,Exatas,não,0,5734.58,2,1
903,25,1.35,49.05,26.91,F,1º Grau,Humanas,sim,1,4874.06,2,0
904,39,1.56,57.36,23.57,M,2º Grau,Biológicas,não,0,15887.92,0,2
905,32,1.46,53.23,24.97,M,Mestrado,Humanas,sim,1,5574,0,0
906,41,1.59,58.61,23.18,F,2º Grau,Humanas,não,0,19013.05,2,0
907,38,1.55,56.87,23.67,M,PósDoc,Biológicas,não,0,14678.28,1,2
908,35,1.5,55.09,24.48,M,Mestrado,Exatas,não,0,10220.4,2,1
909,34,1.49,54.66,24.62,M,Analfabeto,Humanas,sim,1,9148.92,1,0
910,32,1.46,53.55,25.12,M,2º Grau,Humanas,não,0,6387.33,3,0
911,36,1.52,55.8,24.15,M,Analfabeto,Humanas,não,0,11995.07,1,0
912,27,1.39,50.57,26.17,M,Doutorado,Exatas,não,0,1082.54,2,1
913,40,1.57,57.69,23.4,M,1º Grau,Humanas,não,0,16727.94,0,0
914,32,1.46,53.42,25.06,M,3º Grau,Humanas,não,0,6058.86,0,0
915,30,1.43,52.02,25.44,M,2º Grau,Humanas,não,0,2560.32,1,0
916,33,1.47,53.7,24.85,F,1º Grau,Humanas,não,0,6738.87,2,0
917,48,1.69,62.5,21.88,M,Analfabeto,Humanas,não,0,28746.69,0,0
918,23,1.32,47.97,27.53,F,Mestrado,Biológicas,sim,1,7579.99,3,2
919,33,1.47,53.6,24.8,F,PósDoc,Humanas,sim,1,6511.39,2,0
920,36,1.51,55.43,24.31,F,Analfabeto,Humanas,sim,1,11065.89,0,0
921,31,1.45,52.85,25.14,M,3º Grau,Exatas,não,0,4623.41,2,1
922,32,1.46,53.35,25.03,M,PósDoc,Exatas,não,0,5887.31,3,1
923,38,1.54,56.53,23.84,F,3º Grau,Humanas,não,0,13823.48,0,0
924,37,1.52,55.89,24.19,M,Mestrado,Exatas,não,0,12225.14,2,1
925,30,1.43,52.3,25.58,M,Doutorado,Exatas,não,0,3262.45,2,1
926,39,1.56,57.27,23.53,F,PósDoc,Humanas,não,0,15674.33,1,0
927,36,1.52,55.72,24.12,M,Mestrado,Biológicas,sim,1,11794.84,0,2
928,40,1.57,57.75,23.43,M,1º Grau,Humanas,não,0,16863.42,0,0
929,26,1.37,49.69,26.47,M,1º Grau,Humanas,não,0,3272.64,3,0
930,30,1.42,51.93,25.75,F,PósDoc,Humanas,não,0,2320.84,2,0
931,34,1.48,54.23,24.76,F,Doutorado,Exatas,não,0,8072.97,1,1
932,42,1.6,58.84,22.98,M,3º Grau,Exatas,sim,1,19590.51,0,1
933,31,1.45,52.88,25.15,M,PósDoc,Humanas,não,0,4709.69,2,0
934,28,1.4,50.87,25.95,M,PósDoc,Biológicas,não,0,328.87,1,2
935,40,1.58,58.09,23.27,M,Analfabeto,Exatas,não,0,17717.45,3,1
936,38,1.55,56.86,23.67,M,3º Grau,Biológicas,não,0,14653.57,3,2
937,26,1.38,50.1,26.31,F,1º Grau,Biológicas,não,0,2256.71,1,2
938,49,1.7,63.19,21.87,M,Mestrado,Humanas,não,0,30466.77,1,0
939,45,1.65,60.99,22.4,M,Doutorado,Biológicas,não,0,24986.74,1,2
940,25,1.36,49.44,26.73,M,Mestrado,Biológicas,não,0,3889.49,3,2
941,50,1.72,63.61,21.5,F,3º Grau,Biológicas,sim,1,31533.76,2,2
942,23,1.33,48.08,27.18,F,PósDoc,Exatas,não,0,7291.17,3,1
943,36,1.51,55.41,24.3,F,3º Grau,Biológicas,sim,1,11020.42,0,2
944,27,1.39,50.43,26.1,F,1º Grau,Biológicas,sim,1,1412.79,1,2
945,32,1.46,53.49,25.09,F,Mestrado,Humanas,não,0,6229.91,2,0
946,33,1.47,53.6,24.8,M,PósDoc,Exatas,não,0,6512.18,3,1
947,37,1.53,56.29,24.05,F,2º Grau,Biológicas,não,0,13228.85,2,2
948,27,1.39,50.5,26.14,F,Mestrado,Exatas,não,0,1243.4,2,1
949,16,1.22,43.97,29.54,F,Mestrado,Biológicas,não,0,17570.5,3,2
950,34,1.49,54.62,24.6,M,2º Grau,Exatas,não,0,9041.89,1,1
951,30,1.43,52.01,25.43,F,PósDoc,Exatas,sim,1,2533,0,1
952,36,1.52,55.84,24.17,F,PósDoc,Humanas,sim,1,12107.81,0,0
953,29,1.42,51.61,25.6,M,3º Grau,Biológicas,não,0,1514.9,3,2
954,41,1.58,58.17,23.3,M,2º Grau,Biológicas,sim,1,17922.65,0,2
955,35,1.5,55.12,24.5,F,Analfabeto,Humanas,sim,1,10291.87,1,0
956,39,1.56,57.41,23.59,F,1º Grau,Humanas,não,0,16033.88,0,0
957,28,1.4,51.02,26.03,M,PósDoc,Exatas,sim,1,50.6,0,1
958,34,1.48,54.15,24.72,M,1º Grau,Biológicas,não,0,7886.68,3,2
959,37,1.53,56.38,24.08,F,Mestrado,Biológicas,não,0,13440.21,0,2
960,34,1.49,54.64,24.61,F,Mestrado,Biológicas,não,0,9106.21,1,2
961,47,1.67,61.62,22.09,F,Analfabeto,Humanas,não,0,26540.37,2,0
962,21,1.3,47.15,27.9,M,Doutorado,Humanas,não,0,9629.09,1,0
963,40,1.58,58.02,23.24,F,2º Grau,Exatas,sim,1,17561.26,0,1
964,35,1.5,55.06,24.47,M,Mestrado,Humanas,sim,1,10144.19,0,0
965,42,1.59,58.78,23.25,F,Analfabeto,Biológicas,não,0,19457.14,2,2
966,34,1.49,54.6,24.59,M,Doutorado,Exatas,não,0,9011.92,0,1
967,16,1.23,44.04,29.11,M,3º Grau,Exatas,sim,1,17397.54,3,1
968,38,1.54,56.68,23.9,F,Doutorado,Biológicas,não,0,14203.06,1,2
969,33,1.48,54.13,24.71,M,PósDoc,Humanas,não,0,7816.21,2,0
970,28,1.4,51.04,26.04,F,Mestrado,Exatas,não,0,106.45,1,1
971,30,1.43,52.37,25.61,F,PósDoc,Humanas,sim,1,3435.31,1,0
972,35,1.51,55.22,24.22,M,Doutorado,Exatas,sim,1,10556.64,0,1
973,52,1.75,64.81,21.16,F,3º Grau,Humanas,não,0,34520.63,2,0
974,36,1.52,55.75,24.13,M,1º Grau,Exatas,sim,1,11881.74,1,1
975,28,1.4,51.08,26.06,M,Doutorado,Humanas,não,0,203.04,0,0
976,48,1.69,62.61,21.92,M,PósDoc,Humanas,sim,1,29036.1,1,0
977,32,1.46,53.25,24.98,M,2º Grau,Humanas,sim,1,5614.8,3,0
978,29,1.42,51.68,25.63,F,1º Grau,Biológicas,não,0,1702.74,2,2
979,26,1.38,50.01,26.26,F,Doutorado,Humanas,sim,1,2472.31,3,0
980,30,1.43,52.3,25.58,F,1º Grau,Exatas,não,0,3261.91,1,1
981,49,1.69,62.74,21.97,F,PósDoc,Exatas,sim,1,29351.67,3,1
982,41,1.59,58.63,23.19,M,PósDoc,Exatas,sim,1,19065.61,0,1
983,40,1.57,57.95,23.51,M,PósDoc,Biológicas,não,0,17365.27,1,2
984,36,1.51,55.59,24.38,F,Doutorado,Humanas,sim,1,11466.25,0,0
985,37,1.53,56.13,23.98,M,1º Grau,Biológicas,sim,1,12831.21,3,2
986,39,1.56,57.36,23.57,F,Mestrado,Humanas,não,0,15892.77,1,0
987,37,1.52,55.86,24.18,F,3º Grau,Humanas,não,0,12158.49,0,0
988,36,1.52,55.62,24.07,F,Mestrado,Biológicas,sim,1,11550.53,1,2
989,42,1.6,58.82,22.98,M,Doutorado,Biológicas,não,0,19538.27,1,2
990,34,1.48,54.34,24.81,F,Mestrado,Humanas,não,0,8341.47,3,0
991,37,1.53,56.02,23.93,F,2º Grau,Exatas,não,0,12550.04,1,1
992,29,1.41,51.41,25.86,F,2º Grau,Biológicas,não,0,1025.28,3,2
993,46,1.66,61.34,22.26,M,Analfabeto,Humanas,sim,1,25839.7,2,0
994,45,1.64,60.57,22.52,F,1º Grau,Humanas,não,0,23927.59,0,0
995,22,1.32,47.75,27.4,F,PósDoc,Exatas,sim,1,8122.58,1,1
996,33,1.48,54.13,24.71,M,Analfabeto,Biológicas,não,0,7836.8,3,2
997,39,1.55,57.2,23.81,F,Doutorado,Exatas,sim,1,15498.56,2,1
998,38,1.55,56.93,23.7,F,PósDoc,Biológicas,não,0,14827.36,1,2
999,40,1.58,58.04,23.25,F,Mestrado,Biológicas,sim,1,17608.49,3,2
1000,32,1.46,53.22,24.97,F,PósDoc,Humanas,não,0,5543.42,3,0
1001,27,1.38,50.18,26.35,M,PósDoc,Humanas,sim,1,2053.33,1,0
1002,37,1.53,56.21,24.01,F,Analfabeto,Exatas,não,0,13014.67,2,1
1003,24,1.35,48.84,26.8,F,1º Grau,Biológicas,não,0,5391.45,0,2
1004,39,1.56,57.54,23.64,M,1º Grau,Humanas,não,0,16353.71,1,0
1005,40,1.57,57.81,23.45,F,3º Grau,Biológicas,sim,1,17029.52,1,2
1006,22,1.31,47.38,27.61,F,3º Grau,Exatas,não,0,9058.83,2,1
1007,42,1.59,58.76,23.24,F,Analfabeto,Humanas,não,0,19389.21,3,0
1008,33,1.48,54.1,24.7,F,PósDoc,Exatas,não,0,7755.08,3,1
1009,30,1.43,52.3,25.58,F,Analfabeto,Exatas,sim,1,3261.83,3,1
1010,38,1.54,56.78,23.94,M,Mestrado,Biológicas,sim,1,14457.87,0,2
1011,44,1.63,60.12,22.63,M,3º Grau,Exatas,não,0,22806.17,2,1
1012,46,1.66,61.26,22.23,F,2º Grau,Humanas,sim,1,25651.3,1,0
1013,27,1.38,50.2,26.36,F,2º Grau,Humanas,não,0,2005.46,3,0
1014,32,1.46,53.25,24.98,M,1º Grau,Humanas,sim,1,5623.05,0,0
1015,36,1.51,55.59,24.38,F,Mestrado,Biológicas,sim,1,11463.81,0,2
1016,35,1.51,55.26,24.24,F,1º Grau,Biológicas,não,0,10660.19,0,2
1017,32,1.46,53.22,24.97,F,3º Grau,Biológicas,não,0,5549.64,1,2
1018,19,1.27,45.63,28.29,F,Analfabeto,Exatas,não,0,13421.12,3,1
1019,33,1.47,53.89,24.94,M,3º Grau,Biológicas,não,0,7216.18,0,2
1020,27,1.38,50.27,26.4,M,2º Grau,Humanas,sim,1,1818.04,3,0
1021,35,1.5,55.13,24.5,F,PósDoc,Humanas,não,0,10331.25,2,0
1022,29,1.42,51.65,25.61,F,Analfabeto,Exatas,não,0,1622.83,0,1
1023,34,1.49,54.53,24.56,M,PósDoc,Exatas,não,0,8823.89,2,1
1024,30,1.43,52.03,25.44,F,1º Grau,Biológicas,sim,1,2584.77,1,2
1025,32,1.46,53.37,25.04,M,2º Grau,Exatas,não,0,5916.53,1,1
1026,32,1.46,53.49,25.09,M,2º Grau,Humanas,não,0,6222.29,2,0
1027,44,1.63,60.31,22.7,M,3º Grau,Humanas,sim,1,23283.67,0,0
1028,40,1.57,57.87,23.48,M,2º Grau,Humanas,sim,1,17164.36,2,0
1029,33,1.48,54.07,24.68,F,3º Grau,Exatas,não,0,7677.11,2,1
1030,26,1.38,50.1,26.31,F,3º Grau,Humanas,não,0,2262.27,0,0
1031,42,1.6,59.19,23.12,M,1º Grau,Exatas,não,0,20475.38,2,1
1032,25,1.36,49.25,26.63,F,Analfabeto,Exatas,sim,1,4364.07,1,1
1033,27,1.38,50.27,26.4,M,Mestrado,Exatas,não,0,1824.69,2,1
1034,30,1.42,51.9,25.74,M,1º Grau,Biológicas,sim,1,2237.95,1,2
1035,28,1.4,51.11,26.08,M,Analfabeto,Biológicas,sim,1,276.86,1,2
1036,29,1.41,51.39,25.85,F,PósDoc,Biológicas,não,0,963.42,0,2
1037,44,1.63,60.15,22.64,F,1º Grau,Humanas,sim,1,22872.04,2,0
1038,34,1.49,54.58,24.58,M,3º Grau,Humanas,não,0,8938.12,0,0
1039,30,1.43,52.14,25.5,F,1º Grau,Humanas,sim,1,2841.29,2,0
1040,40,1.57,57.69,23.4,M,Analfabeto,Biológicas,não,0,16717.22,1,2
1041,36,1.52,55.79,24.15,M,Doutorado,Exatas,sim,1,11976.34,3,1
1042,26,1.38,50.12,26.32,M,3º Grau,Biológicas,não,0,2200.97,3,2
1043,31,1.44,52.76,25.44,F,2º Grau,Biológicas,não,0,4390.35,1,2
1044,39,1.55,57.13,23.78,M,PósDoc,Humanas,sim,1,15337.33,1,0
1045,49,1.7,62.8,21.73,M,3º Grau,Exatas,sim,1,29503.15,2,1
1046,46,1.66,61.33,22.26,F,Doutorado,Biológicas,não,0,25819.43,1,2
1047,41,1.58,58.35,23.37,M,1º Grau,Biológicas,não,0,18377.88,1,2
1048,35,1.5,54.95,24.42,M,2º Grau,Humanas,não,0,9869.3,3,0
1049,23,1.33,48.1,27.19,M,Analfabeto,Biológicas,não,0,7257.96,3,2
1050,30,1.43,52.08,25.47,F,Doutorado,Humanas,sim,1,2691.46,3,0
1051,33,1.48,54.14,24.72,F,Doutorado,Humanas,não,0,7845.86,0,0
1052,38,1.55,56.96,23.71,M,1º Grau,Exatas,sim,1,14902.07,2,1
1053,35,1.51,55.24,24.23,F,2º Grau,Humanas,não,0,10593.93,1,0
1054,35,1.51,55.23,24.22,F,3º Grau,Biológicas,não,0,10583.12,0,2
1055,48,1.68,62.35,22.09,M,PósDoc,Exatas,não,0,28383.63,2,1
1056,38,1.54,56.55,23.84,F,PósDoc,Humanas,não,0,13876.51,1,0
1057,33,1.47,53.88,24.93,M,2º Grau,Biológicas,não,0,7194.49,3,2
1058,32,1.46,53.29,25,F,Analfabeto,Humanas,sim,1,5714.82,0,0
1059,36,1.51,55.38,24.29,F,Analfabeto,Biológicas,não,0,10953.25,0,2
1060,29,1.42,51.75,25.66,F,3º Grau,Exatas,sim,1,1866.69,1,1
1061,45,1.64,60.47,22.48,M,Analfabeto,Exatas,não,0,23681.9,1,1
1062,33,1.47,53.85,24.92,F,Mestrado,Biológicas,não,0,7124.64,3,2
1063,31,1.45,52.89,25.16,M,Mestrado,Humanas,sim,1,4714.48,0,0
1064,29,1.41,51.51,25.91,M,Mestrado,Biológicas,não,0,1269.87,0,2
1065,42,1.59,58.74,23.23,M,1º Grau,Biológicas,não,0,19358.93,2,2
1066,26,1.37,49.89,26.58,F,Analfabeto,Humanas,sim,1,2772.67,3,0
1067,32,1.45,53.13,25.27,M,1º Grau,Humanas,sim,1,5312.6,2,0
1068,37,1.53,56.25,24.03,M,Doutorado,Biológicas,não,0,13125.16,3,2
1069,34,1.49,54.57,24.58,F,Analfabeto,Humanas,sim,1,8916.78,0,0
1070,37,1.53,56,23.92,F,3º Grau,Biológicas,não,0,12507.9,1,2
1071,26,1.37,49.74,26.5,M,Analfabeto,Exatas,não,0,3161.93,3,1
1072,32,1.46,53.28,25,M,1º Grau,Humanas,não,0,5699.25,0,0
1073,23,1.33,48.18,27.24,F,PósDoc,Exatas,não,0,7041.1,2,1
1074,29,1.42,51.63,25.61,M,3º Grau,Biológicas,não,0,1578.63,0,2
1075,43,1.61,59.59,22.99,F,Analfabeto,Exatas,sim,1,21482.51,3,1
1076,37,1.53,56.01,23.93,F,PósDoc,Biológicas,não,0,12528.32,1,2
1077,36,1.51,55.34,24.27,F,1º Grau,Exatas,não,0,10852.87,0,1
1078,28,1.41,51.27,25.79,F,Analfabeto,Humanas,não,0,663.74,0,0
1079,31,1.44,52.77,25.45,M,Mestrado,Humanas,não,0,4431.8,2,0
1080,28,1.4,50.93,25.98,M,1º Grau,Humanas,não,0,163.7,2,0
1081,35,1.51,55.21,24.21,M,Analfabeto,Humanas,sim,1,10535.25,3,0
1082,40,1.58,58.06,23.26,F,Doutorado,Exatas,sim,1,17651.34,0,1
1083,37,1.53,56.2,24.01,M,PósDoc,Biológicas,sim,1,12991.95,1,2
1084,31,1.44,52.53,25.33,F,3º Grau,Exatas,não,0,3823.84,0,1
1085,39,1.56,57.21,23.51,M,1º Grau,Humanas,não,0,15527.87,0,0
1086,38,1.54,56.55,23.84,F,3º Grau,Humanas,não,0,13879.08,1,0
1087,41,1.58,58.37,23.38,F,PósDoc,Exatas,não,0,18432.11,2,1
1088,32,1.46,53.24,24.98,M,Analfabeto,Biológicas,não,0,5593.72,2,2
1089,27,1.38,50.28,26.4,M,Analfabeto,Humanas,não,0,1793.65,1,0
1090,34,1.49,54.66,24.62,F,1º Grau,Humanas,não,0,9154.31,3,0
1091,37,1.53,56.21,24.01,M,2º Grau,Humanas,não,0,13027.78,0,0
1092,46,1.66,61.24,22.22,M,Mestrado,Exatas,não,0,25590.94,1,1
1093,35,1.49,54.72,24.65,M,2º Grau,Biológicas,não,0,9303.37,2,2
1094,38,1.54,56.71,23.91,M,Mestrado,Exatas,não,0,14270.39,3,1
1095,34,1.49,54.67,24.63,M,Mestrado,Humanas,não,0,9167.37,2,0
1096,50,1.72,63.63,21.51,M,Doutorado,Humanas,não,0,31563.98,3,0
1097,44,1.63,60.35,22.71,M,1º Grau,Biológicas,sim,1,23379.68,2,2
1098,33,1.48,54.07,24.68,M,1º Grau,Biológicas,sim,1,7676.96,3,2
1099,34,1.49,54.49,24.54,F,Doutorado,Biológicas,sim,1,8725.96,1,2
1100,35,1.5,54.91,24.4,M,Analfabeto,Humanas,não,0,9783.15,3,0
1101,36,1.51,55.45,24.32,M,3º Grau,Humanas,não,0,11132.54,1,0
1102,31,1.44,52.74,25.43,F,Mestrado,Humanas,não,0,4349.05,2,0
1103,36,1.51,55.32,24.26,M,2º Grau,Exatas,não,0,10807,1,1
1104,30,1.43,52.22,25.54,M,Mestrado,Exatas,não,0,3042.29,2,1
1105,27,1.39,50.62,26.2,F,Analfabeto,Biológicas,não,0,962.02,1,2
1106,41,1.58,58.22,23.32,F,Mestrado,Humanas,não,0,18044.41,2,0
1107,40,1.57,57.63,23.38,F,Doutorado,Humanas,não,0,16566.44,2,0
1108,31,1.44,52.73,25.43,M,PósDoc,Exatas,não,0,4319.69,3,1
1109,44,1.63,60.09,22.62,F,Mestrado,Exatas,não,0,22727.86,3,1
1110,34,1.48,54.23,24.76,M,3º Grau,Humanas,não,0,8074.56,0,0
1111,33,1.47,53.87,24.93,F,1º Grau,Exatas,sim,1,7163.35,2,1
1112,28,1.4,51.19,26.12,M,Mestrado,Exatas,não,0,463.28,2,1
1113,35,1.5,54.9,24.4,F,PósDoc,Exatas,não,0,9756.49,3,1
1114,34,1.49,54.45,24.53,F,Doutorado,Biológicas,sim,1,8630.14,1,2
1115,35,1.51,55.27,24.24,F,Mestrado,Exatas,não,0,10675.18,3,1
1116,38,1.54,56.78,23.94,F,3º Grau,Humanas,sim,1,14451.68,0,0
1117,41,1.59,58.63,23.19,M,Doutorado,Biológicas,sim,1,19066,1,2
1118,37,1.53,56.31,24.05,F,Analfabeto,Biológicas,não,0,13274.11,0,2
1119,42,1.6,58.97,23.04,M,PósDoc,Exatas,sim,1,19925.62,3,1
1120,42,1.61,59.26,22.86,F,PósDoc,Biológicas,não,0,20654.01,1,2
1121,14,1.21,43.28,29.56,M,Doutorado,Humanas,não,0,19304.82,3,0
1122,32,1.46,53.55,25.12,M,PósDoc,Biológicas,sim,1,6372.26,3,2
1123,39,1.56,57.28,23.54,F,1º Grau,Humanas,não,0,15699.33,1,0
1124,27,1.39,50.52,26.15,F,Analfabeto,Biológicas,sim,1,1196.35,1,2
1125,28,1.4,51.16,26.1,M,PósDoc,Biológicas,não,0,393.5,2,2
